# HDT throughput run started 2026-08-19T12:40:28+02:00
# config: virtual_file_size_mb=50 conn_interval_units=40 packet_size_bytes=247 delay=5
timestamp,phy,virtual_file_size_mb,throughput_kbps,avg_throughput_kbps,transfer_time_ms
2026-08-19T12:43:23+02:00,HDT7.5,50,2613,2499,167983
2026-08-19T12:46:31+02:00,HDT6,50,1858,2248,186673
2026-08-19T12:50:19+02:00,HDT4,50,1944,1872,224078
2026-08-19T12:54:45+02:00,HDT3,50,1639,1582,265159
2026-08-19T13:00:32+02:00,HDT2,50,1249,1214,345669
2026-08-19T13:03:22+02:00,HDT7.5,50,2576,2479,169239
2026-08-19T13:06:28+02:00,HDT6,50,2326,2272,184718
2026-08-19T13:10:10+02:00,HDT4,50,1709,1901,220646
2026-08-19T13:25:29+02:00,HDT3,50,1639,454,264330
2026-08-19T13:31:15+02:00,HDT2,50,1249,1217,344734
2026-08-19T13:34:08+02:00,HDT7.5,50,2576,2448,171437
2026-08-19T13:37:16+02:00,HDT6,50,1873,2248,186635
2026-08-19T14:05:56+02:00,HDT4,50,1608,1622,1719243
2026-08-19T14:10:23+02:00,HDT3,50,1639,1584,264811
2026-08-19T14:16:09+02:00,HDT2,50,1249,1217,344910
2026-08-19T14:19:03+02:00,HDT7.5,50,2553,2423,173139
2026-08-19T14:22:11+02:00,HDT6,50,2334,2244,186902
