# HDT throughput run started 2026-08-19T14:25:04+02:00
# config: virtual_file_size_mb=50 conn_interval_units=40 packet_size_bytes=247 delay=5
timestamp,phy,virtual_file_size_mb,throughput_kbps,avg_throughput_kbps,transfer_time_ms
2026-08-19T14:27:59+02:00,HDT7.5,50,2561,2405,174394
2026-08-19T14:31:10+02:00,HDT6,50,2342,2213,189543
2026-08-19T14:34:58+02:00,HDT4,50,1944,1850,226749
2026-08-19T14:39:29+02:00,HDT3,50,1631,1557,269409
2026-08-19T14:45:24+02:00,HDT2,50,1241,1183,354447
2026-08-19T14:48:47+02:00,HDT7.5,50,1850,2087,200912
2026-08-19T14:52:16+02:00,HDT6,50,2115,2015,208356
2026-08-19T14:56:25+02:00,HDT4,50,1936,1693,247731
2026-08-19T15:01:07+02:00,HDT3,50,1233,1494,280891
2026-08-19T15:07:09+02:00,HDT2,50,1249,1164,360760
2026-08-19T15:10:29+02:00,HDT7.5,50,1772,2120,197998
2026-08-19T15:13:57+02:00,HDT6,50,2264,2022,207447
2026-08-19T15:17:58+02:00,HDT4,50,1936,1750,239831
2026-08-19T15:22:39+02:00,HDT3,50,1639,1501,279397
2026-08-19T15:28:40+02:00,HDT2,50,1249,1165,360010
2026-08-19T15:32:06+02:00,HDT7.5,50,2053,2049,204893
2026-08-19T15:35:37+02:00,HDT6,50,1491,2002,209777
2026-08-19T15:39:40+02:00,HDT4,50,1952,1740,241219
2026-08-19T15:44:13+02:00,HDT3,50,1428,1543,272009
2026-08-19T15:50:02+02:00,HDT2,50,1061,1207,347950
2026-08-19T15:52:58+02:00,HDT7.5,50,2576,2397,175091
2026-08-19T15:56:08+02:00,HDT6,50,2334,2223,188626
2026-08-19T15:59:53+02:00,HDT4,50,1936,1880,223297
2026-08-19T16:04:20+02:00,HDT3,50,1639,1575,266253
2026-08-19T16:10:05+02:00,HDT2,50,1249,1222,343415
2026-08-19T16:13:00+02:00,HDT7.5,50,2568,2408,174194
2026-08-19T16:16:09+02:00,HDT6,50,2342,2238,187386
