# HDT throughput run started 2026-09-22T15:42:49+02:00
# config: virtual_file_size_mb=50 conn_interval_units=160 packet_size_bytes=506 delay=5
timestamp,phy,virtual_file_size_mb,throughput_kbps,avg_throughput_kbps,transfer_time_ms,connection_interval_ms,packet_size_bytes
2026-09-22T15:44:45+02:00,HDT7.5,50,3975,3898,107765,200,506
2026-09-22T15:46:50+02:00,HDT6,50,3508,3445,121781,200,506
2026-09-22T15:49:31+02:00,HDT4,50,2688,2668,157266,200,506
2026-09-22T15:52:50+02:00,HDT3,50,2140,2155,194703,200,506
2026-09-22T15:57:23+02:00,HDT2,50,1577,1555,270000,200,506
2026-09-22T15:59:14+02:00,HDT7.5,50,3975,3938,106500,200,506
2026-09-22T16:01:19+02:00,HDT6,50,3492,3461,121219,200,506
2026-09-22T16:04:01+02:00,HDT4,50,2688,2655,158047,200,506
2026-09-22T16:07:20+02:00,HDT3,50,2172,2147,195547,200,506
2026-09-22T16:11:55+02:00,HDT2,50,1577,1552,270344,200,506
2026-09-22T16:13:45+02:00,HDT7.5,50,3991,3938,106500,200,506
2026-09-22T16:15:50+02:00,HDT6,50,3492,3451,121547,200,506
2026-09-22T16:18:32+02:00,HDT4,50,2688,2655,158032,200,506
2026-09-22T16:21:51+02:00,HDT3,50,2172,2150,195063,200,506
2026-09-22T16:26:25+02:00,HDT2,50,1577,1555,269985,200,506
2026-09-22T16:28:16+02:00,HDT7.5,50,3991,3912,107235,200,506
2026-09-22T16:30:21+02:00,HDT6,50,3508,3467,121000,200,506
2026-09-22T16:33:03+02:00,HDT4,50,2688,2648,158484,200,506
2026-09-22T16:36:21+02:00,HDT3,50,2172,2161,194125,200,506
2026-09-22T16:40:55+02:00,HDT2,50,1577,1554,269922,200,506
2026-09-22T16:42:46+02:00,HDT7.5,50,3911,3922,106985,200,506
2026-09-22T16:44:50+02:00,HDT6,50,3492,3472,120875,200,506
2026-09-22T16:47:32+02:00,HDT4,50,2688,2665,157406,200,506
2026-09-22T16:50:50+02:00,HDT3,50,2189,2160,194282,200,506
2026-09-22T16:55:23+02:00,HDT2,50,1577,1559,269125,200,506
2026-09-22T16:57:15+02:00,HDT7.5,50,4007,3895,107750,200,506
2026-09-22T16:59:20+02:00,HDT6,50,3492,3464,121094,200,506
2026-09-22T17:02:01+02:00,HDT4,50,2688,2652,158203,200,506
2026-09-22T17:05:19+02:00,HDT3,50,2140,2163,193922,200,506
2026-09-22T17:09:51+02:00,HDT2,50,1545,1563,268438,200,506
2026-09-22T17:11:43+02:00,HDT7.5,50,3975,3896,107656,200,506
2026-09-22T17:13:48+02:00,HDT6,50,3492,3455,121454,200,506
2026-09-22T17:16:30+02:00,HDT4,50,2623,2658,157828,200,506
2026-09-22T17:19:48+02:00,HDT3,50,2189,2159,194375,200,506
2026-09-22T17:24:21+02:00,HDT2,50,1545,1560,268937,200,506
2026-09-22T17:26:14+02:00,HDT7.5,50,3991,3854,108828,200,506
2026-09-22T17:28:19+02:00,HDT6,50,3412,3468,121015,200,506
2026-09-22T17:31:00+02:00,HDT4,50,2688,2661,157688,200,506
